Date,NO_value,NO2_value,PM10_value,PM25_value,pedal_cycles_major,two_wheeled_motor_vehicles_major,cars_and_taxis_major,buses_and_coaches_major,lgvs_major,hgvs_2_rigid_axle_major,hgvs_3_rigid_axle_major,hgvs_4_or_more_rigid_axle_major,hgvs_3_or_4_articulated_axle_major,hgvs_5_articulated_axle_major,hgvs_6_articulated_axle_major,pedal_cycles_minor,two_wheeled_motor_vehicles_minor,cars_and_taxis_minor,buses_and_coaches_minor,lgvs_minor,hgvs_2_rigid_axle_minor,hgvs_3_rigid_axle_minor,hgvs_4_or_more_rigid_axle_minor,hgvs_3_or_4_articulated_axle_minor,hgvs_5_articulated_axle_minor,hgvs_6_articulated_axle_minor,EntryTapCount,ExitTapCount
2018-01-01,28.8,47.15,25.4,7.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,32.4,50.95,14.6,10.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,35.9,57.55,16.0,11.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,47.95,57.65,18.6,9.4,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,33.849999999999994,54.35,17.6,12.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,30.35,48.75,18.6,14.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,34.45,50.85,22.75,3.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,32.2,50.25,21.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,31.95,50.400000000000006,18.6,27.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,59.95,57.2,22.8,18.4,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,34.75,46.75,20.2,21.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,22.45,41.35,19.4,23.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,13.0,35.5,21.6,23.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,16.35,38.650000000000006,22.4,25.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,44.75,57.650000000000006,21.6,11.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,20.75,44.6,16.6,9.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,37.5,57.6,22.4,9.466666666666669,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,46.0,62.25,25.0,12.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,45.5,57.95,20.6,10.266666666666667,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,90.05,70.15,23.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-21,127.8,74.19999999999999,31.2,17.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,85.15,66.35,25.4,12.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,48.6,59.15,23.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,101.15,66.95,25.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,46.45,51.0,31.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,23.75,44.6,20.2,13.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-27,19.55,45.1,17.4,16.4,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-28,35.8,50.8,20.2,8.4,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,42.8,61.1,19.8,7.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,85.2,69.4,19.2,17.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,52.650000000000006,52.85,22.0,10.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,26.1,46.85,21.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,30.4,47.1,19.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,38.25,49.05,19.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,42.25,46.85,19.2,6.4,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,58.3,59.4,21.8,8.7,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,63.5,63.400000000000006,24.4,16.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,30.6,49.6,27.8,11.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,21.85,43.400000000000006,21.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,15.4,31.4,19.6,6.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,22.8,41.6,19.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-11,38.05,50.15,21.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,50.8,58.5,21.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,30.85,51.5,23.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,44.8,56.7,30.8,13.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,41.15,43.55,28.8,13.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,30.15,46.0,19.6,14.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-17,24.55,46.55,23.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,37.6,55.35,19.8,17.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,86.0,67.3,20.0,17.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,60.7,63.8,23.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,58.7,67.4,24.0,33.1,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,11.4,46.0,26.0,23.8,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,12.8,50.2,22.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,6.4,40.6,24.0,22.5,,,,,,,,,,,,,,,,,,,,,,,,
