TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough
2023-01-01,Sunday,Aldgate,6146,5423,City of London
2023-01-01,Sunday,Bank,6169,5459,City of London
2023-01-01,Sunday,Barbican,2009,1863,City of London
2023-01-01,Sunday,Blackfriars,6516,6345,City of London
2023-01-01,Sunday,Cannon Street,730,670,City of London
2023-01-01,Sunday,Chancery Lane,1111,979,City of London
2023-01-01,Sunday,Liverpool Street,13756,13664,City of London
2023-01-01,Sunday,Mansion House,2438,2192,City of London
2023-01-01,Sunday,Monument,5549,5656,City of London
2023-01-01,Sunday,Moorgate,3902,4458,City of London
2023-01-02,Monday,Aldgate,4115,4602,City of London
2023-01-02,Monday,Bank,7666,7344,City of London
2023-01-02,Monday,Barbican,2157,2341,City of London
2023-01-02,Monday,Blackfriars,8922,8371,City of London
2023-01-02,Monday,Cannon Street,881,756,City of London
2023-01-02,Monday,Chancery Lane,1985,1852,City of London
2023-01-02,Monday,Liverpool Street,16923,17613,City of London
2023-01-02,Monday,Mansion House,2546,2503,City of London
2023-01-02,Monday,Monument,6236,6384,City of London
2023-01-02,Monday,Moorgate,5303,6163,City of London
2023-01-03,Tuesday,Aldgate,6121,6587,City of London
2023-01-03,Tuesday,Bank,24373,23566,City of London
2023-01-03,Tuesday,Barbican,5024,5274,City of London
2023-01-03,Tuesday,Blackfriars,8106,7930,City of London
2023-01-03,Tuesday,Cannon Street,2961,3196,City of London
2023-01-03,Tuesday,Chancery Lane,8238,8218,City of London
2023-01-03,Tuesday,Liverpool Street,40594,39965,City of London
2023-01-03,Tuesday,Mansion House,4702,4887,City of London
2023-01-03,Tuesday,Monument,10723,11733,City of London
2023-01-03,Tuesday,Moorgate,17392,18343,City of London
2023-01-04,Wednesday,Aldgate,7083,8133,City of London
2023-01-04,Wednesday,Bank,26953,26592,City of London
2023-01-04,Wednesday,Barbican,5666,5674,City of London
2023-01-04,Wednesday,Blackfriars,7723,7473,City of London
2023-01-04,Wednesday,Cannon Street,3243,3192,City of London
2023-01-04,Wednesday,Chancery Lane,9617,10500,City of London
2023-01-04,Wednesday,Liverpool Street,42810,42960,City of London
2023-01-04,Wednesday,Mansion House,4665,4949,City of London
2023-01-04,Wednesday,Monument,11253,12318,City of London
2023-01-04,Wednesday,Moorgate,18686,20019,City of London
2023-01-05,Thursday,Aldgate,6442,7672,City of London
2023-01-05,Thursday,Bank,29222,29776,City of London
2023-01-05,Thursday,Barbican,5705,6082,City of London
2023-01-05,Thursday,Blackfriars,9121,8750,City of London
2023-01-05,Thursday,Cannon Street,3623,3606,City of London
2023-01-05,Thursday,Chancery Lane,8262,3607,City of London
2023-01-05,Thursday,Liverpool Street,49174,49679,City of London
2023-01-05,Thursday,Mansion House,5570,5690,City of London
2023-01-05,Thursday,Monument,11981,13421,City of London
2023-01-05,Thursday,Moorgate,21498,23728,City of London
2023-01-06,Friday,Aldgate,5825,7272,City of London
2023-01-06,Friday,Bank,23674,23349,City of London
2023-01-06,Friday,Barbican,5145,5476,City of London
2023-01-06,Friday,Blackfriars,6570,6550,City of London
2023-01-06,Friday,Cannon Street,2447,2459,City of London
