TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough,LINES,NETWORK,Zone,x,y
20240101,Monday,Aldgate,7223,7382,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20240101,Monday,Bank,8690,8977,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20240101,Monday,Barbican,894,889,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20240101,Monday,Blackfriars,7967,6824,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20240101,Monday,Cannon Street,1869,1611,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
20240101,Monday,Chancery Lane,1565,1681,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20240101,Monday,Liverpool Street,27266,27466,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20240101,Monday,Liverpool Street,27266,27466,City of London,,London Overground,1.0,-0.080013644,51.51752768
20240101,Monday,Liverpool Street,27266,27466,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20240101,Monday,Mansion House,2416,2541,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20240101,Monday,Monument,12082,12905,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20240101,Monday,Moorgate,5621,6783,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20240102,Tuesday,Aldgate,8417,9099,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20240102,Tuesday,Bank,35193,36778,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20240102,Tuesday,Barbican,5843,5491,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20240102,Tuesday,Blackfriars,14133,12903,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20240102,Tuesday,Cannon Street,6133,4281,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
20240102,Tuesday,Chancery Lane,8569,8810,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20240102,Tuesday,Liverpool Street,64367,62775,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20240102,Tuesday,Liverpool Street,64367,62775,City of London,,London Overground,1.0,-0.080013644,51.51752768
20240102,Tuesday,Liverpool Street,64367,62775,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20240102,Tuesday,Mansion House,5624,5715,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20240102,Tuesday,Monument,12902,11397,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20240102,Tuesday,Moorgate,25296,26950,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20240103,Wednesday,Aldgate,9314,10158,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20240103,Wednesday,Bank,41404,43762,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20240103,Wednesday,Barbican,5936,6011,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20240103,Wednesday,Blackfriars,14767,13417,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20240103,Wednesday,Cannon Street,5800,5027,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
20240103,Wednesday,Chancery Lane,10035,10658,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20240103,Wednesday,Liverpool Street,70403,70587,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
20240103,Wednesday,Liverpool Street,70403,70587,City of London,,London Overground,1.0,-0.080013644,51.51752768
20240103,Wednesday,Liverpool Street,70403,70587,City of London,,TfL Rail,1.0,-0.081601363,51.5168424
20240103,Wednesday,Mansion House,6095,6535,City of London,"District, Circle",London Underground,1.0,-0.092495313,51.51130597
20240103,Wednesday,Monument,14052,12268,City of London,"District, Circle",London Underground,1.0,-0.084502291,51.51020898
20240103,Wednesday,Moorgate,30639,32431,City of London,"Metropolitan, Northern, Circle, Hammersmith & City",London Underground,1.0,-0.087700241,51.5178533
20240104,Thursday,Aldgate,10401,11007,City of London,"Metropolitan, Circle",London Underground,1.0,-0.0742363,51.51398203
20240104,Thursday,Bank,49103,51011,City of London,"Waterloo & City, Northern, Central",London Underground,1.0,-0.08729695,51.51291511
20240104,Thursday,Barbican,7823,7745,City of London,"Metropolitan, Circle, Hammersmith & City",London Underground,1.0,-0.097189673,51.51969921
20240104,Thursday,Blackfriars,17214,15729,City of London,"District, Circle",London Underground,1.0,-0.102020251,51.51111447
20240104,Thursday,Cannon Street,6711,5880,City of London,"District, Circle",London Underground,1.0,-0.088801035,51.51096254
20240104,Thursday,Chancery Lane,12751,12552,City of London,Central,London Underground,1.0,-0.109960547,51.5177395
20240104,Thursday,Liverpool Street,78387,79404,City of London,"Metropolitan, Central, Circle, Hammersmith & City",London Underground,1.0,-0.081601363,51.5168424
