count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6121,E,2019,2019-09-18,8,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,35,166,1055,22,280,48,7,5,0,0,1,61,1584
6121,W,2019,2019-09-18,9,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,10,26,1082,25,243,31,6,8,1,0,3,49,1425
6121,E,2019,2019-09-18,12,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,15,51,1191,23,230,25,4,12,1,2,2,46,1541
6121,W,2019,2019-09-18,12,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,12,31,1035,22,286,28,3,4,0,3,2,40,1414
6121,W,2019,2019-09-18,13,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,8,57,1107,28,276,25,2,6,2,1,0,36,1504
6121,W,2019,2019-09-18,14,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,11,41,1251,28,271,28,9,10,0,2,0,49,1640
6121,W,2019,2019-09-18,7,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,10,29,1212,25,228,29,6,2,0,1,0,38,1532
6121,W,2019,2019-09-18,15,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,17,62,1166,30,231,22,4,6,1,0,3,36,1525
6121,E,2019,2019-09-18,18,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,22,46,1259,31,127,31,0,1,0,0,0,32,1495
6121,W,2019,2019-09-18,16,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,20,69,1243,31,215,24,2,6,1,1,0,34,1592
6121,E,2019,2019-09-18,10,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,13,54,1096,27,235,41,3,7,0,2,2,55,1467
6121,E,2019,2019-09-18,9,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,18,100,1170,40,261,32,13,11,2,2,0,60,1631
6121,W,2019,2019-09-18,18,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,34,137,1312,29,143,15,0,1,0,1,1,18,1639
6121,E,2019,2019-09-18,13,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,15,38,1144,17,140,35,2,7,0,2,2,48,1387
6121,W,2019,2019-09-18,10,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,11,25,1098,30,231,29,2,4,0,2,2,39,1423
6121,E,2019,2019-09-18,11,6,London,110,Kensington and Chelsea,A4,Major,Earl's Court Rd,Thurloe Place,526000,178870,51.494741,-0.18635756,1.7,1.06,15,36,1073,15,195,45,1,8,0,3,0,57,1376
